approach,mean_f1,mean_mcc,mean_pr_auc,mean_precision,mean_recall,mean_roc_auc,metrics,name,std_f1,std_mcc,std_pr_auc,std_precision,std_recall,std_roc_auc
RF,0.950980392158824,0.947077792482353,0.971568627452941,0.96078431372353,0.970588235294117,0.986694677870588,ico-delta,oVirt/ovirt-ansible-vm-infra,0.141479114600341,0.151004423134785,0.086555358378838,0.161690416698973,0.121267812518167,0.039005665107772
RF,0.960784313729412,0.956883888611765,0.976470588235294,0.970588235294117,0.970588235294117,0.981792717082353,ico,oVirt/ovirt-ansible-vm-infra,0.110701860681442,0.121941643759681,0.06873328673854,0.121267812518167,0.121267812518167,0.051569342573438
RF,0.376750700282353,0.347490152729412,0.665686274511765,0.313725490194118,0.588235294117647,0.705182072835294,process,oVirt/ovirt-ansible-vm-infra,0.38642234523161,0.394610391792685,0.21918374365151,0.372129536795176,0.507299656195892,0.281640394580432
RF,0.323529411770588,0.277965881394118,0.466421568629412,0.284313725488235,0.411764705882353,0.635504201676471,delta,oVirt/ovirt-ansible-vm-infra,0.418622858959595,0.450535719941311,0.394147921144669,0.394249929024399,0.507299656195892,0.398251260671363
RF,0.945098039217647,0.940608053452941,0.969117647058824,0.955882352941176,0.970588235294117,0.986694677870588,ico-process,oVirt/ovirt-ansible-vm-infra,0.161993302528837,0.172702321406353,0.095822676304295,0.18190171877725,0.121267812518167,0.039005665107772
RF,0.461904761905882,0.427077979635294,0.709558823529412,0.408823529411765,0.647058823529412,0.747899159664706,delta-process,oVirt/ovirt-ansible-vm-infra,0.423126790905155,0.444869130547748,0.243414854646888,0.425739456671126,0.492592183071889,0.284727813837012
RF,0.98639455782449,0.986905884577551,0.99058084772449,0.989795918367347,0.989795918367347,1,ico-delta,Oefenweb/ansible-percona-server,0.066638315960585,0.064135439696549,0.046300922336906,0.071428571428572,0.071428571428572,0
RF,0.98639455782449,0.986905884577551,0.99058084772449,0.989795918367347,0.989795918367347,1,ico,Oefenweb/ansible-percona-server,0.066638315960585,0.064135439696549,0.046300922336906,0.071428571428572,0.071428571428572,0
RF,0.05952380952449,0.047815331746939,0.531688719420408,0.064625850340816,0.061224489795918,0.500914901428571,process,Oefenweb/ansible-percona-server,0.220479275923962,0.222974065585603,0.175742043080322,0.242518437946285,0.219674310562452,0.155181186933625
RF,0.017256902759184,-0.025617872306123,0.435194737212245,0.00952380952449,0.102040816326531,0.441951330983674,delta,Oefenweb/ansible-percona-server,0.054583538728335,0.081036183417301,0.218374201663462,0.030429030970771,0.305838870920598,0.157039682928973
RF,0.979591836736735,0.980362338057143,0.986207669881633,0.989795918367347,0.979591836734694,1,ico-process,Oefenweb/ansible-percona-server,0.08074202360056,0.077694933483653,0.054742902491297,0.071428571428572,0.099957473950873,0
RF,0.068027210885714,0.063271113769388,0.550396202414286,0.081632653061225,0.061224489795918,0.500064561291837,delta-process,Oefenweb/ansible-percona-server,0.235501748018734,0.23921477149671,0.164281917110919,0.276641667586244,0.219674310562452,0.153896693303007
RF,0.790952380955,0.751416354445,0.86341117216,0.740833333335,0.925,0.94452380952,ico-delta,DataDog/ansible-datadog,0.262179850970577,0.275762120777974,0.147153361914278,0.309095785603917,0.244680242464796,0.131115414578747
RF,0.82261904762,0.78753004437,0.88275641026,0.761666666665,0.95,0.93952380952,ico,DataDog/ansible-datadog,0.2605312583507,0.278622193109103,0.148759374022233,0.307227747591899,0.223606797749979,0.142355845602522
RF,0.275678210675,0.06148111185,0.546011280395,0.228727106225,0.51666666667,0.548928571425,process,DataDog/ansible-datadog,0.2808927292519,0.235042089272767,0.224077278957187,0.28026636891666,0.461690258439459,0.227635504230131
RF,0.150555555555,0.003213256535,0.46938519815,0.136785714285,0.225,0.489285714285,delta,DataDog/ansible-datadog,0.278495563838563,0.201898712899497,0.287578677903466,0.280030639339031,0.412788973740948,0.231447934871056
RF,0.780476190475,0.730483392295,0.85150641026,0.699166666665,0.95,0.937380952375,ico-process,DataDog/ansible-datadog,0.258082845188689,0.269690650331658,0.146698011957437,0.302401450772568,0.223606797749979,0.131823486812909
