id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
110140135,oVirt/ovirt-ansible-manageiq,0.0835,3.41,2,True,True,0.5333,0.12,900,3,2,0,0
77808569,reallyenglish/ansible-role-postfix,0.07,2.58,2,True,True,0.3913,0.21,1767,5,2,0,0
217837826,ansible-community/molecule-vagrant,0.2248,6.8,3,True,True,0.4348,4,976,2,2,0,0
75266817,alibaba/ansible-provider,0.2069,7.45,3,True,True,0.462,0.28,17351,1,1,0,0
151249319,onaio/ansible-react,0.0221,3.76,2,True,True,0.6111,0.2,399,2,1,0,0
97092571,avinetworks/ansible-role-aviconfig,0.0142,3.23,4,True,True,0.971,0.05,278,1,1,0,0
42982158,CSCfi/ansible-role-pxe_config,0.3042,3.6,4,True,True,0.4545,0.03,526,1,1,0,0
88843701,idealista/redis_role,0.0395,6.66,3,True,True,0.7273,0.11,1167,1,1,0,0
77052305,idealista/solrcloud_role,0.1472,5.5,4,True,True,0.1912,0.13,7903,2,1,0,0
142212182,lean-delivery/ansible-role-sonarqube,0.0413,3.77,2,True,True,0.7059,0.22,1206,1,1,0,0
112223972,oVirt/ovirt-ansible-repositories,0.0911,2.24,3,True,True,0.6316,0.09,419,3,1,0,0
142292400,oVirt/ovirt-ansible-shutdown-env,0.0841,2.84,2,True,True,0.3043,0.52,414,1,1,0,0
26663627,plone/ansible.plone_server,0.1011,5.91,2,True,True,0.5625,0.12,1743,11,1,0,0
162147868,stackhpc/ansible-role-openhpc,0.0407,5.3,3,True,True,0.6136,1.48,919,3,1,0,0
125430783,timorunge/ansible-pmm-client,0.1641,2.17,2,True,True,0.6,0.12,596,1,1,0,0
73437095,trombik/qansible,0.0477,3.2,3,True,True,0.1667,0.29,4073,3,1,0,0
113817885,Azure/azure_preview_modules,0.0854,16.58,3,True,False,0.2784,9.89,50995,1,1,0,0
25811974,agoravoting/agora-dev-box,0.408,8.44,4,False,True,0.4415,0.26,7676,1,1,0,0
201639246,ansible-community/molecule-azure,0.1882,2.79,2,True,True,0.2571,0.6,578,0,0,0,0
61649857,ansiblebit/grafana,0.2683,4.72,2,True,True,0.5312,0.02,668,0,0,0,0
241710232,ansible-collections/ansible.windows,0.056,7.11,2,True,False,0.3465,30.44,38646,0,0,0,0
141720277,stackhpc/ansible-role-beegfs,0.0424,10.24,3,True,False,0.7143,0.12,1175,0,0,0,0
