id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,release_count,repository_size
146104060,DrPsychick/ansible_influx_downsampling,0.107,5.88,1,True,True,0.5312,0,5,1602
122424272,dsaidgovsg/terraform-modules,0.0814,6.64,2,False,True,0.153,2.67,8,14489
204773844,dynatrace-acm/dtacmworkshop,0.0134,5.64,1,False,True,0.5366,0,3,3612
61556089,Dynatrace/Dynatrace-OneAgent-Ansible,0.0248,2.42,4,False,True,0.6364,0,4,394
110401202,easzlab/kubeasz,0.1252,25.78,3,False,False,0.6853,6.39,33,14458
48370306,elastic/ansible-beats,0.0152,2.53,4,False,True,0.6098,0.93,8,1099
34840276,elastic/ansible-elasticsearch,0.0315,15.87,6,False,True,0.5714,1.01,27,3169
25396173,elnappo/ansible-role-apt-cacher-ng,0.0138,0.87,2,True,True,0.5714,0,5,214
30872644,elnappo/ansible-role-check-mk-agent,0.0636,0.9,2,True,True,0.0988,0.09,10,486
28814712,elnappo/ansible-role-nsd,0.0128,0.42,2,True,False,0.6429,0,2,232
